Datetime,cross_cafe,cloud_cover,humidity,pressure,temp_mean_past1h,wind_max_per10min_past1h,sun_last1h_glob,hour,day_of_month,day_of_week,month,is_weekend
2018-01-02 00:00:00,0.0,0.0,94.0,989.0,4.0,4.3,0.0,0,2,1,1,0.0
2018-01-02 01:00:00,0.0,0.0,94.0,989.8,4.1,4.5,0.0,1,2,1,1,0.0
2018-01-02 02:00:00,0.0,0.0,95.0,990.1,3.9,4.0,0.0,2,2,1,1,0.0
2018-01-02 03:00:00,0.0,0.0,96.0,990.7,3.6,4.2,0.0,3,2,1,1,0.0
2018-01-02 04:00:00,0.0,0.0,97.0,991.4,3.5,4.3,0.0,4,2,1,1,0.0
2018-01-02 05:00:00,0.0,0.0,97.0,992.0,3.1,3.8,0.0,5,2,1,1,0.0
2018-01-02 06:00:00,0.0,0.0,99.0,992.7,2.4,3.2,0.0,6,2,1,1,0.0
2018-01-02 07:00:00,0.0,0.0,98.0,993.2,2.3,3.4,0.0,7,2,1,1,0.0
2018-01-02 08:00:00,1064.8,0.0,97.0,994.0,2.6,3.4,34.5,8,2,1,1,0.0
2018-01-02 09:00:00,1316.8,0.0,93.0,994.5,3.3,3.5,49.0,9,2,1,1,0.0
2018-01-02 10:00:00,654.4,0.0,91.0,994.9,4.2,3.8,44.5,10,2,1,1,0.0
2018-01-02 11:00:00,2688.8,0.0,88.0,995.4,5.0,4.1,45.0,11,2,1,1,0.0
2018-01-02 12:00:00,3091.0,0.0,86.0,995.7,5.4,3.7,56.0,12,2,1,1,0.0
2018-01-02 13:00:00,5488.6,0.0,90.0,995.9,5.2,3.7,33.0,13,2,1,1,0.0
2018-01-02 14:00:00,2280.0,0.0,92.0,995.9,4.6,3.0,17.5,14,2,1,1,0.0
2018-01-02 15:00:00,3539.8,0.0,92.0,995.9,3.5,3.2,0.0,15,2,1,1,0.0
2018-01-02 16:00:00,1004.8,0.0,94.0,995.9,3.5,4.2,0.0,16,2,1,1,0.0
2018-01-02 17:00:00,1110.4,0.0,94.0,995.5,3.6,4.7,0.0,17,2,1,1,0.0
