Datetime,cross_cafe,cloud_cover,humidity,precip_dur_past1h,precip_past1h,temp_dew,temp_dry,temp_max_past1h,temp_mean_past1h,temp_min_past1h,wind_dir,wind_max_per10min_past1h,wind_speed,wind_speed_past1h,sun_last1h_glob,hour,day_of_month,day_of_week,month,is_weekend
2018-01-02 00:00:00,0.0,0.0,94.0,0.0,0.0,3.0,3.9,4.2,4.0,3.7,236.0,4.3,3.9,4.0,0.0,0,2,1,1,0.0
2018-01-02 01:00:00,0.0,0.0,94.0,0.0,0.0,3.3,4.1,4.3,4.1,3.8,243.0,4.5,3.5,4.0,0.0,1,2,1,1,0.0
2018-01-02 02:00:00,0.0,0.0,95.0,0.0,0.0,2.9,3.5,4.2,3.9,3.5,237.0,4.0,3.9,3.7,0.0,2,2,1,1,0.0
2018-01-02 03:00:00,0.0,0.0,96.0,0.0,0.0,3.3,3.9,3.9,3.6,3.4,229.0,4.2,4.1,3.7,0.0,3,2,1,1,0.0
2018-01-02 04:00:00,0.0,0.0,97.0,0.0,0.0,2.7,3.1,3.9,3.5,3.0,239.0,4.3,3.0,3.6,0.0,4,2,1,1,0.0
2018-01-02 05:00:00,0.0,0.0,97.0,0.0,0.0,2.5,2.9,3.4,3.1,2.8,244.0,3.8,2.9,3.3,0.0,5,2,1,1,0.0
2018-01-02 06:00:00,0.0,0.0,99.0,0.0,0.0,1.8,2.0,3.0,2.4,1.7,236.0,3.2,2.8,2.8,0.0,6,2,1,1,0.0
2018-01-02 07:00:00,0.0,0.0,98.0,0.0,0.0,2.2,2.5,2.6,2.3,2.0,254.0,3.4,3.0,3.0,0.0,7,2,1,1,0.0
2018-01-02 08:00:00,1064.8,0.0,97.0,0.0,0.0,2.4,2.9,2.9,2.6,2.3,254.0,3.4,3.1,3.2,34.5,8,2,1,1,0.0
2018-01-02 09:00:00,1316.8,0.0,93.0,0.0,0.0,2.8,3.8,3.8,3.3,2.9,249.0,3.5,3.3,3.2,49.0,9,2,1,1,0.0
2018-01-02 10:00:00,654.4,0.0,91.0,0.0,0.0,3.2,4.6,4.7,4.2,3.7,253.0,3.8,3.4,3.5,44.5,10,2,1,1,0.0
2018-01-02 11:00:00,2688.8,0.0,88.0,0.0,0.0,3.3,5.1,5.2,5.0,4.5,246.0,4.1,3.4,3.5,45.0,11,2,1,1,0.0
2018-01-02 12:00:00,3091.0,0.0,86.0,0.0,0.0,3.4,5.6,5.6,5.4,5.1,243.0,3.7,3.2,3.2,56.0,12,2,1,1,0.0
2018-01-02 13:00:00,5488.6,0.0,90.0,0.0,0.0,3.4,5.0,5.6,5.2,4.7,244.0,3.7,3.0,3.2,33.0,13,2,1,1,0.0
2018-01-02 14:00:00,2280.0,0.0,92.0,0.0,0.0,3.0,4.2,5.0,4.6,4.1,229.0,3.0,3.0,2.7,17.5,14,2,1,1,0.0
2018-01-02 15:00:00,3539.8,0.0,92.0,0.0,0.0,2.0,3.2,4.3,3.5,2.9,220.0,3.2,2.3,2.4,0.0,15,2,1,1,0.0
2018-01-02 16:00:00,1004.8,0.0,94.0,0.0,0.0,3.0,3.8,3.8,3.5,2.8,205.0,4.2,4.2,3.5,0.0,16,2,1,1,0.0
2018-01-02 17:00:00,1110.4,0.0,94.0,0.0,0.0,2.4,3.3,3.9,3.6,3.3,213.0,4.7,4.4,4.3,0.0,17,2,1,1,0.0
2018-01-02 18:00:00,1212.0,0.0,95.0,0.0,0.0,2.5,3.2,3.5,3.2,2.9,204.0,4.4,3.6,3.7,0.0,18,2,1,1,0.0
2018-01-02 19:00:00,380.8,0.0,97.0,0.0,0.0,2.4,2.8,3.3,2.9,2.6,176.0,3.9,3.9,3.4,0.0,19,2,1,1,0.0
2018-01-02 20:00:00,262.4,0.0,97.0,0.0,0.0,2.9,3.3,3.3,3.0,2.8,176.0,4.4,4.0,4.0,0.0,20,2,1,1,0.0
2018-01-02 21:00:00,394.4,0.0,96.0,0.0,0.0,3.0,3.6,3.7,3.5,3.2,182.0,4.6,4.6,3.9,0.0,21,2,1,1,0.0
2018-01-02 22:00:00,172.8,0.0,95.0,0.0,0.0,3.0,3.7,3.8,3.7,3.5,168.0,5.2,5.1,4.8,0.0,22,2,1,1,0.0
2018-01-02 23:00:00,0.0,0.0,95.0,0.0,0.0,2.8,3.6,3.8,3.6,3.5,158.0,6.3,5.9,5.7,0.0,23,2,1,1,0.0
2018-01-03 00:00:00,0.0,0.0,95.0,0.0,0.0,2.6,3.4,3.6,3.5,3.3,143.0,6.9,6.3,6.0,0.0,0,3,2,1,0.0
2018-01-03 01:00:00,0.0,0.0,95.0,0.0,0.0,2.8,3.5,3.6,3.5,3.3,140.0,8.2,8.1,7.4,0.0,1,3,2,1,0.0
2018-01-03 02:00:00,0.0,0.0,97.0,0.0,0.0,2.8,3.2,3.5,3.3,3.1,138.0,9.2,8.4,8.4,0.0,2,3,2,1,0.0
2018-01-03 03:00:00,0.0,0.0,94.0,0.0,0.0,2.0,2.8,3.3,3.0,2.8,141.0,11.0,9.6,9.7,0.0,3,3,2,1,0.0
2018-01-03 04:00:00,0.0,0.0,96.0,0.0,0.0,1.9,2.5,2.8,2.6,2.4,138.0,11.3,9.9,10.3,0.0,4,3,2,1,0.0
2018-01-03 05:00:00,0.0,0.0,95.0,6.0,0.6,1.2,1.9,2.7,2.4,2.0,144.0,11.9,11.5,11.0,0.0,5,3,2,1,0.0
2018-01-03 06:00:00,0.0,0.0,97.0,10.0,1.0,1.0,1.5,2.0,1.6,1.4,132.0,12.0,9.1,9.8,0.0,6,3,2,1,0.0
2018-01-03 07:00:00,0.0,0.0,99.0,26.0,2.6,0.1,0.3,1.6,0.7,0.1,132.0,9.4,9.1,8.2,0.0,7,3,2,1,0.0
2018-01-03 08:00:00,1000.0,0.0,99.0,19.0,1.9,-0.1,0.1,0.5,0.3,0.0,132.0,9.4,9.1,8.2,0.0,8,3,2,1,0.0
2018-01-03 09:00:00,1840.8,0.0,99.0,21.0,2.0,0.0,0.1,0.4,0.1,-0.1,124.0,5.0,4.6,4.7,0.0,9,3,2,1,0.0
2018-01-03 10:00:00,907.2,0.0,99.0,20.0,2.0,1.0,1.1,1.2,0.6,0.1,111.0,5.5,3.8,4.5,0.0,10,3,2,1,0.0
2018-01-03 11:00:00,1054.4,0.0,100.0,0.0,0.0,1.8,1.8,1.9,1.6,1.1,94.0,3.9,1.6,2.5,0.0,11,3,2,1,0.0
2018-01-03 12:00:00,2714.8,0.0,100.0,0.0,0.0,2.6,2.6,2.6,2.1,1.7,54.0,1.7,1.5,1.2,0.0,12,3,2,1,0.0
2018-01-03 13:00:00,3552.8,0.0,100.0,0.0,0.0,2.7,2.8,3.0,2.8,2.4,156.0,1.6,0.4,0.9,46.0,13,3,2,1,0.0
2018-01-03 14:00:00,2176.8,0.0,100.0,0.0,0.0,3.6,3.7,3.9,3.2,2.6,196.0,2.1,1.5,1.5,18.5,14,3,2,1,0.0
2018-01-03 15:00:00,2020.0,0.0,99.0,0.0,0.0,3.4,3.5,3.7,3.4,3.0,219.0,2.4,2.3,1.5,0.0,15,3,2,1,0.0
2018-01-03 16:00:00,1588.0,0.0,97.0,0.0,0.0,3.1,3.6,3.9,3.6,3.3,210.0,3.0,2.8,2.8,0.0,16,3,2,1,0.0
2018-01-03 17:00:00,1023.2,0.0,98.0,0.0,0.0,3.1,3.4,3.8,3.5,3.3,238.0,3.3,2.0,2.6,0.0,17,3,2,1,0.0
2018-01-03 18:00:00,2396.0,0.0,98.0,0.0,0.0,2.9,3.2,3.6,3.3,3.0,233.0,3.2,1.8,2.4,0.0,18,3,2,1,0.0
