word, lexicon
"ad", "dk"
"af", "dk"
"aldrig", "dk"
"alle", "dk"
"alt", "dk"
"anden", "dk"
"andet", "dk"
"andre", "dk"
"at", "dk"
"bare", "dk"
"begge", "dk"
"blev", "dk"
"blive", "dk"
"bliver", "dk"
"da", "dk"
"de", "dk"
"dem", "dk"
"den", "dk"
"denne", "dk"
"der", "dk"
"deres", "dk"
"det", "dk"
"dette", "dk"
"dig", "dk"
"din", "dk"
"dine", "dk"
"disse", "dk"
"dit", "dk"
"dog", "dk"
"du", "dk"
"efter", "dk"
"ej", "dk"
"eller", "dk"
"en", "dk"
"end", "dk"
"ene", "dk"
"eneste", "dk"
"enhver", "dk"
"er", "dk"
"et", "dk"
"far", "dk"
"fem", "dk"
"fik", "dk"
"fire", "dk"
"flere", "dk"
"fleste", "dk"
"for", "dk"
"fordi", "dk"
"forrige", "dk"
"fra", "dk"
"få", "dk"
"får", "dk"
"før", "dk"
"god", "dk"
"godt", "dk"
"ham", "dk"
"han", "dk"
"hans", "dk"
"har", "dk"
"havde", "dk"
"have", "dk"
"hej", "dk"
"helt", "dk"
"hende", "dk"
"hendes", "dk"
"her", "dk"
"hos", "dk"
"hun", "dk"
"hvad", "dk"
"hvem", "dk"
"hver", "dk"
"hvilken", "dk"
"hvis", "dk"
"hvor", "dk"
"hvordan", "dk"
"hvorfor", "dk"
"hvornår", "dk"
"i", "dk"
"ikke", "dk"
"ind", "dk"
"ingen", "dk"
"intet", "dk"
"ja", "dk"
"jeg", "dk"
"jer", "dk"
"jeres", "dk"
"jo", "dk"
"kan", "dk"
"kom", "dk"
"komme", "dk"
"kommer", "dk"
"kun", "dk"
"kunne", "dk"
"lad", "dk"
"lav", "dk"
"lidt", "dk"
"lige", "dk"
"lille", "dk"
"man", "dk"
"mand", "dk"
"mange", "dk"
"med", "dk"
"meget", "dk"
"men", "dk"
"mens", "dk"
"mere", "dk"
"mig", "dk"
"min", "dk"
"mine", "dk"
"mit", "dk"
"mod", "dk"
"må", "dk"
"ned", "dk"
"nej", "dk"
"ni", "dk"
"nogen", "dk"
"noget", "dk"
"nogle", "dk"
"nu", "dk"
"ny", "dk"
"nyt", "dk"
"når", "dk"
"nær", "dk"
"næste", "dk"
"næsten", "dk"
"og", "dk"
"også", "dk"
"okay", "dk"
"om", "dk"
"op", "dk"
"os", "dk"
"otte", "dk"
"over", "dk"
"på", "dk"
"se", "dk"
"seks", "dk"
"selv", "dk"
"ser", "dk"
"ses", "dk"
"sig", "dk"
"sige", "dk"
"sin", "dk"
"sine", "dk"
"sit", "dk"
"skal", "dk"
"skulle", "dk"
"som", "dk"
"stor", "dk"
"store", "dk"
"syv", "dk"
"så", "dk"
"sådan", "dk"
"tag", "dk"
"tage", "dk"
"thi", "dk"
"ti", "dk"
"til", "dk"
"to", "dk"
"tre", "dk"
"ud", "dk"
"under", "dk"
"var", "dk"
"ved", "dk"
"vi", "dk"
"vil", "dk"
"ville", "dk"
"vor", "dk"
"vores", "dk"
"være", "dk"
"været", "dk"
